央视频道,#genre#
CCTV-1HD,http://kxz.kaniptv.cn/xz/xz_c659550e0b/kds2.php?e=cctv1hd
CCTV-2HD,http://kxz.kaniptv.cn/xz/xz_c659550e0b/kds2.php?e=cctv2hd
CCTV-3HD,http://kxz.kaniptv.cn/xz/xz_c659550e0b/kds2.php?e=cctv3hd
CCTV-4HD,http://kxz.kaniptv.cn/xz/xz_c659550e0b/kds2.php?e=cctv4hd
CCTV-5HD,http://kxz.kaniptv.cn/xz/xz_c659550e0b/kds2.php?e=cctv5hd
CCTV-6HD,http://kxz.kaniptv.cn/xz/xz_c659550e0b/kds2.php?e=cctv6hd
CCTV-7HD,http://kxz.kaniptv.cn/xz/xz_c659550e0b/kds2.php?e=cctv7hd
CCTV-8HD,http://kxz.kaniptv.cn/xz/xz_c659550e0b/kds2.php?e=cctv8hd
CCTV-9HD,http://kxz.kaniptv.cn/xz/xz_c659550e0b/kds2.php?e=cctv9hd
CCTV-10HD,http://kxz.kaniptv.cn/xz/xz_c659550e0b/kds2.php?e=cctv10hd
CCTV-11HD,http://kxz.kaniptv.cn/xz/xz_c659550e0b/kds2.php?e=cctv11hd
CCTV-12HD,http://kxz.kaniptv.cn/xz/xz_c659550e0b/kds2.php?e=cctv12hd
CCTV-13HD,http://kxz.kaniptv.cn/xz/xz_c659550e0b/kds2.php?e=cctv13hd
CCTV-14HD,http://kxz.kaniptv.cn/xz/xz_c659550e0b/kds2.php?e=cctv14hd
CCTV-15HD,http://kxz.kaniptv.cn/xz/xz_c659550e0b/kds2.php?e=cctv15hd
CCTV-16HD,http://kxz.kaniptv.cn/xz/xz_c659550e0b/kds2.php?e=cctv16hd
CCTV-17HD,http://kxz.kaniptv.cn/xz/xz_c659550e0b/kds2.php?e=cctv17hd
CCTV-5+HD,http://kxz.kaniptv.cn/xz/xz_c659550e0b/kds2.php?e=cctv5p
CCTV-4中文国际欧洲,http://kxz.kaniptv.cn/xz/xz_c659550e0b/kds2.php?e=cctv4o
CCTV-4中文国际美洲,http://kxz.kaniptv.cn/xz/xz_c659550e0b/kds2.php?e=cctv4m
重温经典,http://kxz.kaniptv.cn/xz/xz_c659550e0b/kds2.php?e=cwjd
CCTV-4K超高清,http://kxz.kaniptv.cn/xz/xz_c659550e0b/kds2.php?e=cctv4k
CCTV-8K超高清,http://kxz.kaniptv.cn/xz/xz_c659550e0b/kds2.php?e=cctv8k
CCTV-1综合,http://kxz.kaniptv.cn/xz/xz_c659550e0b/kds2.php?e=cctv1
CCTV-2财经,http://kxz.kaniptv.cn/xz/xz_c659550e0b/kds2.php?e=cctv2
CCTV-3综艺,http://kxz.kaniptv.cn/xz/xz_c659550e0b/kds2.php?e=cctv3
CCTV-4中文国际,http://kxz.kaniptv.cn/xz/xz_c659550e0b/kds2.php?e=cctv4
CCTV-5体育,http://kxz.kaniptv.cn/xz/xz_c659550e0b/kds2.php?e=cctv5
CCTV-6电影,http://kxz.kaniptv.cn/xz/xz_c659550e0b/kds2.php?e=cctv6
CCTV-7国防军事,http://kxz.kaniptv.cn/xz/xz_c659550e0b/kds2.php?e=cctv7
CCTV-8电视剧,http://kxz.kaniptv.cn/xz/xz_c659550e0b/kds2.php?e=cctv8
CCTV-9纪录,http://kxz.kaniptv.cn/xz/xz_c659550e0b/kds2.php?e=cctv9
CCTV-10科教,http://kxz.kaniptv.cn/xz/xz_c659550e0b/kds2.php?e=cctv10
CCTV-11戏曲,http://kxz.kaniptv.cn/xz/xz_c659550e0b/kds2.php?e=cctv11
CCTV-12社会与法,http://kxz.kaniptv.cn/xz/xz_c659550e0b/kds2.php?e=cctv12
CCTV-13新闻,http://kxz.kaniptv.cn/xz/xz_c659550e0b/kds2.php?e=cctv13
CCTV-14少儿,http://kxz.kaniptv.cn/xz/xz_c659550e0b/kds2.php?e=cctv14
CCTV-15音乐,http://kxz.kaniptv.cn/xz/xz_c659550e0b/kds2.php?e=cctv15
